Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports","In XX/XX/2020, I consolidated my old Dept of Ed student loans with XXXX. I am paying XXXX, however the old student loans are still reporting on my account as open and showing late payments. They are reporting inaccurate information monthly. Ive written to the credit reporting agencies to have them removed, but nothing has happened yet."
Debt collection,"15 U.S. Code 1681b - Permissible purposes of consumer reports Subject to subsection ( c ), any consumer reporting agency may furnish a consumer report under the following circumstances and no other : ( 2 ) In accordance with the written instructions of the consumer to whom it relates. 

Delete these Account immediately from my consumer report I DID NOT give written permissible."
"Credit reporting, credit repair services, or other personal consumer reports",I have repeatedly asked the credit bureau to verify information on a report. they have refused to verify the information provided by XXXX XXXX XXXX. They have listed the item of verified and refused to say how they verified. I have talked to the original vendor and even they agree the information is not correct. they have failed to follow the rules and verify the account. I have even hired a law firm to send them letters and they have not responded.
Debt collection,On my XXXX credit report the collection agency file a collection notice for medical bills that have nothing to do with me. When I contacted them they stated they have nothing in their system for me and that this is result of XXXX reporting this onto the wrong person and there is nothing they can do. I requested a letter from them stating the same but they stated there is nothing they can do for me. XXXX stated I must get a letter in order to properly remove the items in question.
"Credit reporting, credit repair services, or other personal consumer reports","I recently sent dispute to XXXX XXXX regarding a late payment, they have yet to remove this information. This late payment should be removed immediately."
"Credit reporting, credit repair services, or other personal consumer reports",I disputed all of the fraudulent accounts on my report. I have not receive any notices from the credit bureaus. None of the items that are reporting delinquent is accurate. I sent notices and by law the bureaus have 30 days to provide a written explanation I have yet received anything. It has been over days!
"Credit reporting, credit repair services, or other personal consumer reports","At this time, I respectfully request a copy of my Experian, XXXX and XXXX XXXX credit report. I dont know why all of my written requests have been ignored, but it would be greatly appreciated if each credit reporting agency will mail out a copy of my credit report to XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX, NY XXXX. Your professional cooperation will be greatly appreciated. 
XXXX XXXX"
Debt collection,"I have contacted XXXX XXXX XXXX XXXX XXXX XXXX. I no longer owe XXXX. They have received their equipment but still wanting to get {$970.00} from me. I am not responsible for this debt and it's stopping me from getting approved for my home. I have disputed with XXXX, XXXX, and Experian and there has been no response to verify that I owe them."
"Credit reporting, credit repair services, or other personal consumer reports",My credit score was lowered by Experian 38 points stating XXXX XXXX XX/XX/21 and XX/XX/21. XXXX XXXX has advised me they did not report me to the credit bureau. Once again I feel targeted by Experian. Experian violated credit laws by not removing a delinquent account off my credit due to a failure of the creditor providing the documentation. Now they are hitting my credit score repeatedly.
"Credit reporting, credit repair services, or other personal consumer reports","Under the Fair credit reporting act, take appropriate action to correct inaccurate or incomplete information on a credit report. Bankruptcy Court is not an information provider as we do not report any information to these agencies. Bankruptcy court does not report to reporting agencies and does not report to any other of the agencies."
"Credit reporting, credit repair services, or other personal consumer reports","I've been disputing these accounts for months, they do not belong to me and should not bereporting to any of these bureaus ( experian, XXXX, or XXXX  ). Month after month theyhave not removed these false names, accounts, and inquiries on my credit report."
"Credit reporting, credit repair services, or other personal consumer reports",This was a XXXX XXXXXXXX bill from my college days. It was the responsibility of my roommate and I don't know how or why my information is on it for them to say I owed money. I called the company about it and the rep I spoke with said it would be removed if I paid it in full. They lied!!!! Its still on my credit.
"Credit reporting, credit repair services, or other personal consumer reports","Please remove collection account opened on XX/XX/2020 from XXXX XXXX XXXX XXXX XXXX on the amount of {$1400.00}. This account has been fully paid off. Attached is the letter from XXXX XXXX XXXX. Please update credit reports immediately. 

Thanks, XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",No response on the 30 day investigation on the hard inquiries reporting on my credit report and its been well past 30 days
"Credit reporting, credit repair services, or other personal consumer reports",Ive reached out to XXXX  and us department of education I have no known knowledge of this account it has been deleted off of XXXX and XXXX  when I call XXXX they say theyve verified it I asked for a copy of verification for 3 months now with know response to it Ive filed a police report which was submitted to experian and us department of education please provide a verification documents to me as this is a fraud account
"Credit reporting, credit repair services, or other personal consumer reports","Experian you have been requested in over 100 written communications, since XX/XX/2020, if a liability obligation reported on your credit report requires a signed document evidencing an enforceable auto lease agreement and to provide a copy of this written agreement? 

Your most recent CFPB XXXX communication undeniably represents compelling evidence of your willingness to participate in unusual and deceptive commercial practices."
"Credit reporting, credit repair services, or other personal consumer reports",Requested a credit card product change from Citi for coverting Citi XXXX XXXX XXXX credit card to XXXX XXXX XXXX credit card. The card was converted but credit report was hard pulled without consent. No warning was given that a hard credit inquiry will be done for changing credit card products even though credit line remained the same.
"Credit reporting, credit repair services, or other personal consumer reports",My Name is XXXX XXXX and I have tried several times trying to reach out to Experian. They have constantly closed my complaint just made excuses on why they could not answer my complaint.This is my third time and the previous two times they have said they do not recognize the customer which does not make sense if I have provided my drivers license as well as a bank statement for proof of identity.I feel like I am being ignored
"Credit reporting, credit repair services, or other personal consumer reports",Complaint against Experian Credit Bureau regarding XXXX XXXX account. I contacted XXXX to ask about late payments from XXXX XXXX XX/XX/XXXX. XXXX  reported that they did not report any late payments in the year XXXX due to account being closed XX/XX/XXXX. I had no late payments during the year of XXXX and have never been late with any payments to XXXX. XXXX rep said that they havent reported any late payments and that Experian must have reported those late payments in error. The late payments are effecting my credit score as well.
"Credit reporting, credit repair services, or other personal consumer reports",I placed a call to Wells Fargo Dealer services regarding my principal balance being reported incorrectly and was given the run around about the balance showing on my credit reports. Agent was unwilling to provide a timely solution to the problem. Wells Fargo has continuously reported inaccurate information on my report
"Payday loan, title loan, or personal loan",I called for a payoff and the amount was excessive and exceeded the laws of interest in Massachusetts on XX/XX/2021 and will not settle for a reasonable amount I have paid back 3 times the amount of original loan
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX XXXXs reporting incorrectly to all three of my credit bureaus. If all of the information comes from the same source why is it reporting differently on all three bureaus. On Experian and XXXX  it has an open date of XX/XX/2019 and on XXXX  its XX/XX/2019. It also shows a credit limit of XXXX on XXXX  and Experian but XXXX  credit limit on XXXX. Being that all of the information reporting isn't correct this needs to be deleted from all three credit bureaus ASAP.
Debt collection,The data that you showed in my credit report I previously requested a proof of how you managed this. You can't demonstrate any of the data referenced in the past credit report information that I challenged with.
"Credit reporting, credit repair services, or other personal consumer reports",as of XXXX my experian? FICO credit score erroneously dropped more than 70 points. It appears the algorithms are geaed to looking at a high balance and immediately attacking you credit score without waiting to see if you XXXX out the balance like I have. These mistakes often take months to resolve beciase of the software bug in your algorithms.
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX ( XX/XX/2020 ) - Is reporting a late payment when I have made all my payments on time
"Credit reporting, credit repair services, or other personal consumer reports",Experian is reporting incorrectly multiple late payments in XXXX and a new late payment on XX/XX/XXXX on my XXXX XXXX XXXX account. I have spoken to XXXX XXXX rep and was told I had no late payments in XXXX and no recent late payment XX/XX/XXXX.
Debt collection,I noticed on my credit report that Plaza servic just place a collection from XXXX XXXX XXXX on my credit report. They are not the original creditor. I never received a collection letter for me to dispute this prior for them placing this on my credit file. I mean for them to do this during this pandemic that the hardships is causing everybody is cruel and inhumane. They will try to claim they did send me a letter so it can stay on my credit file or say they can't find me.
"Credit reporting, credit repair services, or other personal consumer reports","There are several negative items on my report that I strongly believe are not accurate. I therefore submitted a dispute requesting an investigation and a response into these issues. That dispute was sent out on XX/XX/XXXX XX/XX/and I never received any reply. I then sent a follow-up dispute on XX/XX/XXXX. It is now XX/XX/XXXX and I still have absolutely nothing. No investigation was undertaken, no verification was made, and no response was sent. I have a legal right to all these things and the bureaus have a legal responsibility to respond to my disputes."
"Credit reporting, credit repair services, or other personal consumer reports","Experian is reporting multiple late payments in XXXX and a recent late payment in XX/XX/XXXX. I have spoken with XXXX XXXX and was told they did not report any late payments in XXXX or anything recently, therefore, Experian reported incorrectly"
"Credit reporting, credit repair services, or other personal consumer reports",Experian is reporting multiple late payment in XXXX and a recently derogatory mark on XX/XX/XXXX. I have spoken to a rep from XXXX XXXX XXXX and was told they didnt report these late payments and that these late payments were reported by Experian and not them.
"Credit reporting, credit repair services, or other personal consumer reports",Late payments in XXXX and XX/XX/2020 contacted the three bureaus to remove payments
Debt collection,ALDOUS is claiming that I owe them {$270.00} with an Account Number : XXXX but I didn't recognize this debt. Please Remove this inaccurate collection from my report.
"Credit reporting, credit repair services, or other personal consumer reports",Experian has a credit card account from XXXXXXXX XXXX listed on my credit report which does not belong to me. I checked with XXXX in early XXXX of 2021 and they have no record of a credit card account with my social security number. I disputed the account with experian in XXXX and they did not drop it from my report. I disputed it again because it is inaccurate and received a denial again today. I do not know who the account belongs to but fortunately it does appear to have been paid every month.
"Credit reporting, credit repair services, or other personal consumer reports","I feel these accounts are adversely affecting my credit report and costing me thousands of dollars in interest every year.. I need this problem fixed asap i will not wait another 45 days to receive no response because clearly yall disregarding me. I still haven't heard back from Experian, XXXX, and XXXX."
Debt collection,"Called to collect a debt that was not backed up with details on how I owed the debt. I have not seen any evidence that I owe this debt. When asked to send me a copy of the forms I signed, or treatment details to my address on file, I have yet to receive anything."
"Credit reporting, credit repair services, or other personal consumer reports",I recently received a copy of my credit report and ACT Account is showing on my report in which I have no knowledge of this account. Under the Fair Credit Report Act please remove the fraudulent information which is hindering me from purchasing a home.
Debt collection,This account is fraudulent activity and this account is not mine I need this account remove ASAP if this can not be resolved I will have to use legal actions
"Credit reporting, credit repair services, or other personal consumer reports",This account is fraudulent. I've tried many times to get this taken care of. After obtaining a court order and documentation from the District Attorneys office showing that someone is utilizing my identity with an fake ID.
Debt collection,"XXXX XXXX sent a bill to Aargon Collections but I was unaware that I owed anything since I have insurance. I just recently found out that I had a collection because I ran my credit. I contacted Aargon and let them know that I never received a bill from from XXXX or any documents from Aargon. I never had the opportunity to pay this prior to this reporting on my credit which is against FCRA laws. 

I should have been given a reasonable amount of time by both parties listed above prior to this reporting on my credit by law."
Mortgage,I received a letter from Village Capital and Investment. The letter said that that I was eligible to refinance my loan. So I went on their website and completed the info they needed. I was contacted by phone from XXXX XXXX and spoke to him about offer. He said that his assistant would be sending me a application by email. I never received the application. I feel like they are a scam and that my house is in jeopardy. They dont respond to my emails.
"Credit reporting, credit repair services, or other personal consumer reports","I have 2 accounts on my credit report of which i do not recognize. I have submitted all necessary documents including a police report. The 2 accounts in question are below. 
XXXX. XXXX XXXX XXXX 2. XXXX XXXX XXXX According to the FCRA 605B these items must be removed within 4 days I do not recognize the adresses below and would like them removed from my credit report. 
XXXX XXXX XXXX XXXX XXXX, XXXX, CA XXXX XXXX XXXX XXXX, XXXX, CA XXXX I demand these accounts / items are removed from my credit report"
"Credit reporting, credit repair services, or other personal consumer reports","The XXXX Court has no jurisdiction over credit reporting agencies and does not report to any of the agencies. XXXX Court is not an information provider as we do not report any information to these agencies. Under the Fair credit reporting act, take appropriate action to correct inaccurate information on a credit report. What method of verification did you use?"
Debt collection,"Hi- I have sent this information to you guys before and this company stalls a few months then add it back to my credit ... it's very disturbing and repetitious. Over a year ago this Debt was identified as a fraud yet IC Systems continues to apply it to my 3 credit reports. 
I would like it to be removed. 
I don't owe this debt of {$140.00} to IC System nor XXXX  XXXX XXXX. Please removed"
Debt collection,I do not have record of this account that ever belonged to me. I've requested on various occasions to send verification from proprietorship however they haven't agreed to my solicitation yet.
"Credit reporting, credit repair services, or other personal consumer reports","There are some inquiries on credit reports which I do not no about, it may be potential fraud and I wrote dispute letter to the credit bureau and and they don't correct it, I want all the inquiries that I do not recognize removed from my credit report. 
XXXX, Experian and XXXX."
"Credit reporting, credit repair services, or other personal consumer reports","There are 3 accounts on my credit that were included in an identity theft concern ; I have disputed these account with the bureaus since XX/XX/2020 and have included the police report as well as the FTC Identity Theft form - I didn't receive any response from the bureaus! I filed the dispute, AGAIN, on XX/XX/2020, again with the reports from the police and FTC, but yet again no response or communications from the bureaus."
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXXXXXX is reporting information incorrectly and I would like to have this account deleted immediately from all three bureaus. on XXXX  and Experian it shows dated opened XX/XX/2018 and on XXXX it shows an open date of XX/XX/2018. The high credit on XXXX and Experian is XXXX and on XXXX XXXX. The credit limit on XXXX and Experian is also showing XXXX and XXXX on XXXX. If all of this information is pulled from the same source why is it incorrect. Please delete this account asap.
Credit card or prepaid card,Aspire calls 3-4 times per day or until i answer the phone. This is harassment. I have XXXX XXXXXXXX  and this is making me have XXXX XXXX. I want compensation for harassment.
"Credit reporting, credit repair services, or other personal consumer reports","The reason for this letter is to dispute an unauthorized inquiry on my credit report. I retrieved a copy of my credit report and discovered inquiries that I have no knowledge of. 

Because I did not apply for credit. I have also reached out asking that they remove the inquiries from my credit profile."
Debt collection,I sent a letter to Helvey asking for any documents that have with my legal signature stated that this is my debt and the about I owe them. They sent me back a typed up letter they made stated that I owe them monies I have no knowledge of owing. I did not sign or agree to any services with this company.
"Credit reporting, credit repair services, or other personal consumer reports",The account was ordered out of my name and not my responsibility and they refuse to remove and is damaging my credit and making me unable to make purchases. It is not my account it is fraud and court ordered.
"Credit reporting, credit repair services, or other personal consumer reports","Contacted Experian and XXXX  multiple times about a false account appearing on my credit report. Attached proof of letter sent along with pictures of certified mail, return requested proof."
Debt collection,"HI there. 

This account was closed in XXXX of 2018. I have returned the apartment and move to a different city. 

I remember I have complained about XXXX XXXX in the past. 

This scammers and other similar, manage to sent a variety of collection notices for small amounts expecting you to pay without verification. 

Imagine this small amount multiplied by thousands of unsuspected customers, who may be cheated with utilities accounts that were closed or transfer. 

All charges related to electricity were payed off and the account closed. 

Please see the XXXX email regarding this account closed."
Mortgage,"I have tried working with wells fargo but they continue to lose my documents and continue to delay the review. 

On XX/XX/2021 I submitted the 4506t form that they had asked and for over 3 weeks now continue to ask me for the same document. They are just playing games and I need to save my house. I shouldn't have to resend over 3 times the same copy of the document when their document in take team doesn't properly look at documents. 

They have wasted now almost a month waiting for a single form that they already had."
"Credit reporting, credit repair services, or other personal consumer reports",Receive a responds stating my dispute was verified. I requested a Method of Verification and it was not provided. I have proof from the courts that they don't provide any proof to credit agencies and they informed me although it's public records the courts do not report to any agencies. I was informed by a representative that your agency do receive files from a 3rd party vendor.
"Credit reporting, credit repair services, or other personal consumer reports",I disputed two inquiries on my Experian credit report. I sent the dispute by certified mail. Please see attached copies of date dispute was sent. I also sent certified letter directly to XXXX XXXX and they did not respond. Please see attached copy of the date that dispute was sent. Experian did not respond to my dispute within the 30 days timeframe per the FCRA guidelines. Experian must delete both inquiries
Debt collection,On XX/XX/XXXX I received a letter from Aargon collection agency asking to pay a debt in the amount of {$39.00} and interest {$4.00} on the behalf of a creditor XX/XX/XXXX XXXX Hawaii XXXX. They also state that my account is or may be reported to credit reporting agency. I called the collection agency right away. The told this debt is from services received on XX/XX/XXXX. As a matter of fact I have never been on Hawaii at this period of time. I lived in California. I received some services from XXXXXX/XX/XXXX on XX/XX/XXXX and paid them on XX/XX/XXXX.
"Credit reporting, credit repair services, or other personal consumer reports","There are inquiries on my Experian and XXXX  that do not belong to me. There are also other content on my XXXX with an account called XXXX XXXX that I have removed 3 times already and they just put it back on my credit file which is unlawful and I'm ready to pursue charges. 
There are other filings I will be reporting in another complaint about all three bureaus, but I submit that when I attach the documentation."
"Credit reporting, credit repair services, or other personal consumer reports",Stop messing up my credit with false credit checks
"Credit reporting, credit repair services, or other personal consumer reports","Credit bureau Experian has been reporting a 30 day late on my report XX/XX/2020. I've disputed 6 times and provided them a letter from XXXX XXXX explaining and showing I was not late. XXXX XXXX has removed it 4 times however, they continue to report again and again. This has gone on for 12mo and has stopped me from refinancing a property with an interest rate of 12 % costing me a lot of money."
"Credit reporting, credit repair services, or other personal consumer reports","As previously reported my identity has been compromised inwhich affected my credit file with many unauthorized and unknown inquiries, that's obviously fraudulent. I'm therefore demanding that these inquiries be removed immediately from my credit file. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",I do not know these inquiries in my profile. I have never gave anybody permission for these inquires and I have never authorized something like this. I do not know the origins of them but this is error in my credit report. I am a victim of identity theft so please I ask you to delete them from my profile asap.
"Credit reporting, credit repair services, or other personal consumer reports",I did not request these inquiries contact company and company did not see anything on file
Debt collection,"I have been working with XXXX XXXX for over a month, trying to make payment to them. 

They refuse to accept my payment IN FULL. They have ruined my credit and referred me to convergent outsourcing. 

I called convergent this morning, and they advised they do not have an account with my name, and to call XXXX. 

XXXX keeps referring me to Convergent. Convergent can not located my account. 

Please help."
"Credit reporting, credit repair services, or other personal consumer reports",XXXXXXXX XXXX  is reporting the account attached incorrectly. The open date on XXXX and Experian is XX/XX/2015 and on XXXX its XX/XX/2015. The past due amount on XXXX  and Experian is XXXX and on XXXX its XXXX. On XXXX and Experian it shows 120 days past due and on XXXX it shows 90 days past due. If all of this information is produced from the same place and sent to all three bureaus why is it incorrect? I would like this account deleted from all three bureaus since nothing matches up.
"Credit reporting, credit repair services, or other personal consumer reports","As previously reported my identity has been compromised inwhich affected my credit file with many unauthorized and unknown inquiries, that's obviously fraudulent. I'm therefore demanding that these inquiries be removed immediately from my credit file. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","Hello, I contacted Experian about a fraudulent account ( XXXX ). Early in 2020, they responded and removed the account ( There report number XXXX XX/XX/XXXX20 ). Attached is proof of the dispute results. Shortly after, another company called XXXX XXXX picked the account and put in back on my credit report. I have contacted both Experian and XXXX XXXX about the fraudulent account with calls, notarized letters and submitting disputes through there sites. But no luck"
"Credit reporting, credit repair services, or other personal consumer reports","experain has humiliated me over and over again. i have disputed and provided police reports and i was told that my accurate police report was a fake. i asked the company did they call and they advised me that they didnt called they just feel its fake. i was so enraged. 

i advised them the bankruptcies on my credit were not reported by the courts and they had different addresses on them. i provided documents from the courts and nothing no reponse"
"Credit reporting, credit repair services, or other personal consumer reports",Credit report has I name on there I have never went by.
"Credit reporting, credit repair services, or other personal consumer reports",I just do everything on my credit report big except it was my student loans my student loans no no erase every last one of my student loans due to my XXXX and XXXX  XXXX XXXX and Experian us laugh did not report my right score all my credit report after youre still loans was erase
"Credit reporting, credit repair services, or other personal consumer reports","After I filed complaint about an inaccurate balance showing as past due Experian fixed the issue with the balance. However, the balance was paid in full in XX/XX/XXXX, yet the report now shows the account was in collections until XX/XX/XXXX. This is inaccurate. I paid off the balance in XX/XX/XXXX and then there a mistaken tax bill sent in XX/XX/XXXX, which was cancelled. There was nothing due from me after XX/XX/XXXX."
"Credit reporting, credit repair services, or other personal consumer reports","I checked my credit report when purchasing a vehicle, that is when I realized I am a victim of identity theft. I filed a report with the XXXX and my local police department. I send all documents to the C.R.A and Sequoia Financial Service. The Account Opened is Sequoia Financial Service Account Number : XXXX Date Opened : XX/XX/2019 Balance : {$1900.00}. I have never opened an account with them, I am a victim of identity theft and I need this resolved and removed from my name and credit bureaus."
"Credit reporting, credit repair services, or other personal consumer reports","I believe the year was XXXX XXXX XXXX accounts have been reported as fraud and they refuse to take them off. 

XXXX XXXX has butchered my score by at least 80 points over the past 3 years by reporting me as 30 and 60 days late in XXXX. 
The credit reporting agencies refuse to remove it. I have proof of payment directly from my account to credit card account."
"Credit reporting, credit repair services, or other personal consumer reports",Account was charged off in XXXX of XXXX same account was later charged off again in XXXX of XXXX with a {$1.00} decrease in balance owed. I did not make any payment. This is clearly any attempt to circumvent account aging off my credit report. This 2nd charge off posting has caused my score to drop significantly.
"Credit reporting, credit repair services, or other personal consumer reports",I mailed out my dispute letter XX/XX/20 to XXXX. I still havent gotten anything from the company. In the letter I disputed and asked for deletions of the accounts that were reporting in error. I sent a follow up letter still with no response.
"Credit reporting, credit repair services, or other personal consumer reports","I've written your company several times all sent out via mail. I haven't heard any word so I have no choice but to submit my complaint here about my credit report. There are false or misleading representations. There are several accounts were the payment history is not consistent and should be correct. On Experian and XXXX  it reporting different information. 
The following accounts I have did my due deligence and actually carefully reviewed my report. I feel like you guys are stalling and not properly investigating"
"Credit reporting, credit repair services, or other personal consumer reports","The Bankruptcy Court has no jurisdiction over credit reporting agencies and does not report to any of the agencies. Bankruptcy Court is not an information provider as we do not report any information to these agencies. Under the Fair credit reporting act, take appropriate action to correct inaccurate information on a credit report. What method of verification did you use?"
"Credit reporting, credit repair services, or other personal consumer reports",I was just looking over my credit report and found some inaccuracies that I am demanding you correct. This account is paid in full and the creditor agreed to delete the account.
"Credit reporting, credit repair services, or other personal consumer reports",On XX/XX/2020 I sent a letter regarding inaccurate and unknown things on my credit report to this day over 60 days later I have not received a response yet. My information was also impacted by the data breach and may have got into the hands of the wrong person.
"Credit reporting, credit repair services, or other personal consumer reports","The Credit Bureaus have stated that they have verified a bankruptcy on my credit file as accurate and it was verified with the USBK COURT XXXX OKLAHOMA. Which is incorrect. 

I have uploaded the letters that describe the issues I am having.."
"Credit reporting, credit repair services, or other personal consumer reports","I have a few addresses on my credit report that do not belong to me and I have issues with my verifications for my job. I really need these addresses off my file please delete remove the following:XXXX XXXX XXXX XXXX XXXX , OH XXXX XXXX XXXX XXXX XXXX, OH XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","Good day, To whom it may concern, I XXXX XXXX soley submit this complaint on behalf of myself in regards to my credit report. I have recently pulled my credit report and noticed the closed account XXXX being reported as a charge off, however the address associated with this account is incorrect and inaccurate. According to the fair credit reporting act I ask this account be deleted and completely removed off my credit report immediately.I have attached my XXXX  credit report as proof of my claim."
Debt collection,"The collection own my account sinceXX/XX/XXXX, *I did not receive any letter or call from them * after I called them 4 times they did not cooperate I started call them late XX/XX/XXXX * I requested more information no one response till they received letter from the court they start send letters to me. Around XX/XX/XXXX with late date on the paper *they harm my credit report for about 2 years without give a chance to fix it"
"Credit reporting, credit repair services, or other personal consumer reports","I did not consent to authorize nor benefit from these accounts, along with navient has violated my federally protected consumer rights under the FCRA and also under Truth in Lending Act"
Mortgage,Bank of America sent a letter to me that they had put my home into foreclosure after i explained to them that i had been laid off permanently from my jobXX/XX/2020 due to Covid19 and i needed forbearance. This is in direct violation of the CARES ACT.
"Credit reporting, credit repair services, or other personal consumer reports",I XXXX XXXX am a victim of identity theft and fraud. XXXX IS VIOLATING MY RIGHTS BY REPORTING FALSE INACCURATE ACCOUNTS ON MY CREDIT FILE. THESE ACCOUNTS WERE OPEN FRAUDULENTLY IN MY NAME. THIS IS MY 3RD ATTEMPT WRITING XXXX ABOUT THIS MATTER. THEY HAVE NOT RESPONDED TO MY DISPUTES OR MADE ANY CHANGES. I AM GOING TO HAVE MY ATTORNEY TAKE THEM TO COURT BECAUSE THIS IS A VIOLATION OF THE FAIR CREDIT REPORTING ACT.
"Credit reporting, credit repair services, or other personal consumer reports",i try to buy i car when dealer pull my credit show an account dont belongs to me i call XXXX  XXXX XXXX talk to 4 different agent but not one were able to help also car expirian not luck as well
"Credit reporting, credit repair services, or other personal consumer reports",I asked the company what was their method of verification on an inaccuracy that I found on my report. The company stated that they verified the information from the US Court. This is a lie because I have written proof that the bureaus never verified with the US Court. This is a violation of my consumer rights and I am requesting it be removed along with any accounts associated with this inaccuracy.
"Credit reporting, credit repair services, or other personal consumer reports","I recently obtained a copy of my credit report and found the item to be in error. I want to dispute the following inaccurate information that appears on my XXXX  credit report. The error which prompted this credit report dispute includes late payment on XX/XX/2017, ALLY FINANCIAL. I am kindly requesting ALLY FINANCIAL to remove this late payment from my credit reports. Doing so would sincerely be appreciated and represent an invaluable gift to my family and me."
Debt collection,"United Legal Group Credit Collection Bureau www.unitedlegalgroup.com XXXX : XXXX XXXX XXXX XXXX ext. XXXX They filed a collection on my personal credit report, on a fraud related account with my past business XXXX XXXX XXXX XXXX. I have attached the original complaint, which was filed in small claims and while i effected service, yet in California all small claims have to be served in California so it was dismissed. 

I have also attached two fraud complaints against the original company."
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX  XXXX XXXX account # XXXX. My address is XXXX XXXX XXXX XXXX XXXX, Florida. On XX/XX/21, I contacted XXXX XXXX XXXX XXXX to advised the credit that the information reported to the credit bureau is not correct. The account had charge off and report an balance. Due to the fair credit reporting act companies are not allow to report charge off with an outstanding balance to the credit bureau."
Debt collection,XXXX XXXX of XXXX ( XXXX XXXX ) sent bill to collections and included price of rental unit. Lady in office said if i brought unit back they would remove cost of unit. I brought the unit back and they then said they couldnt remove the cost of unit and said id have to work it out with XXXX XXXX. I am not paying extra for unit that was returned. Amount sent to collections is {$920.00}. Bill was only XXXX some dollars
